| end of split   1 /  2 | epoch  15 | time:  2.48s | valid loss 2.4659 | valid ppl 11.7744 | learning rate 20.0000
| end of split   2 /  2 | epoch  15 | time:  2.49s | valid loss 2.5531 | valid ppl 12.8463 | learning rate 20.0000
| end of split   1 /  2 | epoch  16 | time:  2.49s | valid loss 2.4728 | valid ppl 11.8550 | learning rate 20.0000
| end of split   2 /  2 | epoch  16 | time:  2.49s | valid loss 2.5512 | valid ppl 12.8220 | learning rate 20.0000
| end of split   1 /  2 | epoch  17 | time:  2.56s | valid loss 2.5609 | valid ppl 12.9477 | learning rate 20.0000
| end of split   2 /  2 | epoch  17 | time:  2.45s | valid loss 2.4679 | valid ppl 11.7971 | learning rate 20.0000
| end of split   1 /  2 | epoch  18 | time:  2.44s | valid loss 2.5246 | valid ppl 12.4863 | learning rate 20.0000
| end of split   2 /  2 | epoch  18 | time:  2.52s | valid loss 2.3947 | valid ppl 10.9652 | learning rate 5.0000
| end of split   1 /  2 | epoch  19 | time:  2.47s | valid loss 2.3851 | valid ppl 10.8607 | learning rate 5.0000
| end of split   2 /  2 | epoch  19 | time:  2.46s | valid loss 2.4223 | valid ppl 11.2721 | learning rate 5.0000
| end of split   1 /  2 | epoch  20 | time:  2.45s | valid loss 2.4498 | valid ppl 11.5866 | learning rate 5.0000
| end of split   2 /  2 | epoch  20 | time:  2.43s | valid loss 2.3831 | valid ppl 10.8387 | learning rate 5.0000
TEST: valid loss 2.2517 | valid ppl   9.5038
